"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","f.11","f.12","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","S.11","S.12","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","s.12","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","r.11","r.12","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","Temp.12","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","RelH.11","RelH.12"
0,0.243087557603686,0.251766384040172,0,0,0.0683293708875198,0,0.263466749734451,0,0,0,0.17334993773417,0,0,2.13001954492695,0,0,0.369107642895787,0,4.2897823733456,0,0,0,-3.14393263319106,0,0,3.31285980658869,0,0,-0.571828013998225,0,-1.58293656368726,0,0,0,-4.29513496932996,0,0,3.28030931703622,1,1,3.14050695274917,1,4.69835394832431,1,1,1,3.27763971530522,1,1,4.3602718676129,1,1,2.8942001797422,1,4.22035479231073,1,1,1,3.44512006069258,1,1,-0.26361387206032,0,0,0.0930577390480304,0,-0.22779246287865,0,0,0,-0.0788523012960533,0,0,0.993314496143921,10.0160532896973,0,0,13.4580320118118,0,12.1893265154091,0,0,0,15.4423961193636,0,0,63.9058718675485,0,0,70.8863727481996,0,61.7381435772712,0,0,0,90.5529047146813,0,0
0,0.258064516129032,0.33268633555187,0,0,0,0.0967113974093357,0.12789708008623,0,0,0,0.184640670823533,0,0,2.43924232037379,0,0,0,1.37444930859093,6.23202321620819,0,0,0,-3.0207877452583,0,0,2.49261869640584,0,0,0,-1.99196279052231,-3.19187296654751,0,0,0,-3.76411253290144,0,0,3.34491822635177,1,1,1,3.26422323124077,4.44584100896191,1,1,1,3.2472765353336,1,1,4.39071969946132,1,1,1,3.02814037247793,3.90761711377728,1,1,1,3.70539645629691,1,1,-0.259868537752454,0,0,0,0.299660373123438,-0.00789390031100853,0,0,0,-0.0407074531162029,0,0,0.994324864181912,9.94494652873997,0,0,0,10.8335415241565,9.78993282031821,0,0,0,9.9687131556422,0,0,65.0222792955191,0,0,0,67.2838630866045,64.8424870963134,0,0,0,84.6821570373731,0,0
0,0.266129032258065,0.173209503001648,0,0,0,0,0.222521442217159,0,0,0.17623840531823,0.161901617204898,0,0,0.447542272662922,0,0,0,0,4.61577214179951,0,0,3.38450682326375,-2.85303739022371,0,0,3.00663985671264,0,0,0,0,-2.71699252275582,0,0,1.31426617620108,-4.52154094475115,0,0,2.99636705782195,1,1,1,1,4.69818165920672,1,1,2.76459385651365,3.29182220230879,1,1,4.99382246615017,1,1,1,1,3.5974297049945,1,1,3.36221096152183,3.44709136097223,1,1,0.0381184056991962,0,0,0,0,-0.028989945249046,0,0,0.100139871788328,-0.0401081693847098,0,0,0.994750664240429,11.0268597626055,0,0,0,0,9.5981114323838,0,0,9.57674666817218,9.8536660456534,0,0,70.5194080891882,0,0,0,0,68.0918026553546,0,0,67.7916495331772,87.4227745233927,0,0
0,0.267281105990783,0,0.0743829139441642,0.0785336287184654,0.0384744084899912,0.141115050872042,0,0.186021717108602,0,0.0939094322066304,0.120281742669321,0,0,0,-4.12130314408594,8.17793396749504,-0.0446561334800091,2.74255463556995,0,2.22765391663597,0,3.69289585209582,-1.96809430148493,0,0,0,-6.60315783561465,-1.60924415502922,2.66153734534523,-3.76429110728986,0,3.7090342065217,0,0.131774587529718,-3.20475199806546,0,0,1,3.14763977061586,4.01929766773577,1.95555943157242,3.23555284665624,1,3.45449297804354,1,2.25489569201193,2.62829245108882,1,1,1,3.52041911152389,3.72014263300228,2.02000254668395,3.03805222238927,1,4.22280886715032,1,2.31658017726971,2.82543221866925,1,1,0,-0.277418614070645,-0.240137649140782,0.251294228612073,-0.10253863750326,0,-0.194121692690688,0,-0.00463438601191484,-0.151284128321542,0,0,0.996926334634947,0,11.6018154393472,9.44518377630848,13.6892137580257,9.03548084595147,0,9.57649498619899,0,10.1404696331115,9.47887690539945,0,0,0,85.043928180521,68.4965759506511,74.9584910042889,69.6929731294274,0,68.908068792831,0,72.5779720887371,87.8486039630544,0,0
0,0.258064516129032,0,0,0,0.0437063353361357,0,0.147991206897281,0.167283030874086,0,0.10948412683106,0.273470783932405,0,0,0,0,0,-0.334155896488572,0,5.83222696233124,2.10078744572444,0,3.74295352693812,-1.45746907935037,0,0,0,0,0,1.78914133952582,0,-2.66988679327264,4.19550929861217,0,-0.244868348462395,-4.26831750767954,0,0,1,1,1,1.87083517226374,1,4.6250942782436,3.65878273061397,1,2.18192633604857,3.64981711686982,1,1,1,1,1,2.75724295835574,1,3.50849989007162,3.94504753916936,1,2.71708768350217,3.57675676235636,1,1,0,0,0,0.344550905323016,0,-0.0118202414377936,-0.199499016352523,0,0.118946767120687,0.0973504572605154,0,0,0.994729486541764,0,0,0,9.79861139135712,0,9.29929360625346,9.22939812649855,0,8.87048388971399,9.22454346648532,0,0,0,0,0,76.3390177273803,0,72.068382195458,71.9773190133149,0,72.8896074645493,73.3765532850122,0,0
0,0.258064516129032,0.0703054046659894,0.151284798706964,0,0.076079411856216,0.179806700778939,0.0484619170508787,0.138249464300301,0,0.07774778651168,0,0,0,2.94856938313783,-3.51657067932264,0,-0.47711523047799,1.3202426763983,9.42826088187707,2.72636987450693,0,5.51448730034188,0,0,0,1.86625860279118,-4.66242361650741,0,1.12280129092634,-4.10735995108069,-3.74845809093918,4.74797101570324,0,-0.46785064139869,0,0,0,1.64573531903707,2.98540302686293,1,1.73072300426855,3.23961247322618,3.45592657803932,3.76611274384905,1,2.13281218836825,1,1,1,2.40870333537026,3.79499769391785,1,3.01624325989153,2.7729341741411,3.54608553935798,4.07302277353977,1,2.22666879394455,1,1,1,-0.0490337840790208,-0.0139324165910847,0,-0.16055063800679,-0.0145279931253661,0.233752200500737,-0.327468569970898,0,0.130945891698234,0,0,0,0.996314482260942,6.43171118371348,9.43728804749262,0,9.85600688137402,6.94288339990786,9.05909749249163,8.84754543500283,0,6.83432482173732,0,0,0,74.6827546981909,86.5499591083037,0,79.9448305648605,79.2583956318971,68.4891276077003,74.9859954378514,0,76.8029726600163,0,0,0
0,0.228110599078341,0,0.156923466647694,0.170211677967479,0.0557138611954084,0.0772637252083971,0.0420906774833299,0.173741297322016,0,0.0959446950973347,0,0,0,0,-3.58619411013937,5.77790268989009,-0.864618410750621,0.18013311128773,2.97488415201012,1.65367489387131,0,3.79076093522409,0,0,0,0,-5.33858492356432,-0.918304695931419,0.906892245084908,-3.78358238663495,-6.14732573054065,3.80986595220993,0,0.556674591139556,0,0,0,1,2.91779731918755,4.1893255842388,1.75586047023697,2.35818019740614,2.54271365721556,3.5128332393357,1,2.08293944897754,1,1,1,1,3.44092705980808,3.769275021659,2.54962041784747,1.81539701283759,2.48404126507634,4.66872814031634,1,2.47852942981811,1,1,1,0,-0.0702949106473267,-0.201365889273722,0.196787299141756,0.159634842587902,-0.0743656682810317,-0.158189463680702,0,-0.0917270933232079,0,0,0,0.997847176754776,0,11.497148963221,10.8640047746349,10.1372663641152,9.5735310100699,5.98804838581392,10.8637434103811,0,10.8093912140763,0,0,0,0,83.742204630735,73.7362048181592,92.4702913577812,77.0193898707402,69.9630881239185,73.7386939942081,0,73.7462017751553,0,0,0
0,0.240783410138249,0,0.157018259805614,0.112656771509819,0.085762150352651,0.113019501454128,0.0745990152929487,0.148812208372089,0,0.0673486830745004,0,0,0,0,-3.72834420483947,5.7073099829809,-1.03252903682024,1.27933465179676,8.3418626668645,1.66875736857958,0,2.864674619878,0,0,0,0,-5.5825111045605,-0.034038482411324,0.43879041811742,-4.21780318714213,-4.60399893799757,4.60194277722644,0,1.26994267364469,0,0,0,1,3.1481740895419,2.71213563994481,2.03556348183709,2.98868860523223,3.89742699985171,3.71151069396958,1,1.77529634156466,1,1,1,1,3.46978415030022,2.56058363550246,3.06342101818569,2.18166410129502,3.68031691907077,4.45266300648558,1,2.80986910838999,1,1,1,0,-0.0735936715947428,0.174337572942496,0.317318577543784,0.0185678783953715,0.327375695404209,-0.0783298661898892,0,0.228585881008385,0,0,0,0.997506722523385,0,14.0227588407246,8.12030138683123,10.2812207890047,8.02025075847044,8.87491898805523,8.49964941974135,0,7.09996734817762,0,0,0,0,90.7778017863652,76.1028831340664,90.4074377086615,79.8795574057034,70.7957288650545,76.7118630024948,0,85.3930825918475,0,0,0
0,0.16705069124424,0,0,0,0,0,0.322144752490236,0.221756431018214,0,0,0.28904812524731,0,0,0,0,0,0,0,5.36093369507274,2.39640674439392,0,0,-3.06329091899247,0,0,0,0,0,0,0,-2.20303025796469,3.4169453007633,0,0,-4.47584015127513,0,0,1,1,1,1,1,4.86405539487539,3.44068229022876,1,1,3.694945299692,1,1,1,1,1,1,1,4.31534227375445,4.81718069353098,1,1,3.85457834371212,1,1,0,0,0,0,0,-0.0603056415632436,-0.146736342776243,0,0,0.139227532011031,0,0,0.996034498118017,0,0,0,0,0,11.5122501262862,11.7876984613812,0,0,9.82131079203513,0,0,0,0,0,0,0,70.8841678906091,73.6469961929229,0,0,79.1672449206649,0,0
0,0.1036866359447,0,0.186774128334667,0,0.160323247838253,0,0.40707747797293,0.14213850990945,0,0,0,0,0,0,-4.11126577132232,0,-2.30272597764093,0,5.45005503373484,3.23341367189511,0,0,0,0,0,0,-6.19107446467762,0,-0.780796867627715,0,-2.41515955129778,6.33334466579194,0,0,0,0,0,1,3.7111102685617,1,4.22766743056689,1,5.15869924651837,3.81918726856872,1,1,1,1,1,1,3.61860168465069,1,3.50267027642974,1,4.40694450773207,4.27106009064744,1,1,1,1,1,0,-0.0427838409895077,0,0.198488343933413,0,-0.093043776109985,-0.295709282875255,0,0,0,0,0,0.993770684863712,0,11.9930018083057,0,15.2261347721391,0,13.1824842322775,20.6599176652195,0,0,0,0,0,0,68.2662271357497,0,74.7535966754995,0,65.2506084704444,87.1249674307561,0,0,0,0,0
