"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","f.11","f.12","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","S.11","S.12","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","s.12","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","r.11","r.12","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","Temp.12","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","RelH.11","RelH.12"
0,0.357910906298003,0.0637804407495035,0.0365840610213691,0.0764499679050913,0.141213292301127,0.112345845886302,0,0,0,0,0.0839474898617331,0.127767995976871,0,-1.20178750248301,-3.51856262282749,2.33506632174572,4.98571960493509,2.94428555501451,0,0,0,0,-6.11043552579657,0.779848847242844,0,-4.77993453462133,-0.972411584667376,-3.26655624428409,-4.321593269292,2.42221252112105,0,0,0,0,-1.49351127373291,6.25550259980462,0,2.77538768489274,1.56023490470535,2.11235914755611,3.97581660831723,2.19442056725754,1,1,1,1,2.89556204473562,3.98819171656475,1,2.4740545766064,2.19483312469885,1.9279594513313,3.9601989257309,2.7239273171272,1,1,1,1,3.55619148817648,3.64920313907655,1,-0.51349812754363,0.0856955816014199,-0.0713108389534504,-0.0203131531627893,-0.232552599428813,0,0,0,0,-0.00207434497241259,0.178983470784922,0,0.996518767077478,10.5887279913037,15.0884193092957,4.11321994140303,10.1926247307391,8.53610348561309,0,0,0,0,14.7288186500527,12.5508618482675,0,78.3030888827157,86.5528917026193,61.4433570858268,76.6008296104275,78.6056118810596,0,0,0,0,85.1461502997316,83.8699646483134,0
0,0.348694316436252,0.0597528650270605,0,0.0920870215894103,0.07968901166203,0.115940237765401,0.067406547352634,0,0,0,0.129687881468345,0.106742118698867,0,1.70377045639907,0,1.92847026213406,6.79879110636867,3.07497483093423,-4.72687841749567,0,0,0,-3.84335615225861,1.76750504137141,0,-6.25951440538533,0,-3.235914608318,-4.80533164195769,1.96181754171022,-3.34743758509908,0,0,0,0.0842203530683328,6.67934036810756,0,2.60513279431075,1,2.85162748346122,3.45388866035672,2.17435375013954,3.72974771677664,1,1,1,2.98111981181334,3.6069379747794,1,2.08085097412043,1,1.62551844315212,3.97410128258525,2.78109541263177,2.37556565489623,1,1,1,3.65112192100647,3.24564590774296,1,-0.0759098794262267,0,-0.131753945028256,-0.0047168094536845,-0.278720282497567,0.0175181879726455,0,0,0,-0.213917185419229,0.0290897023583068,0,0.993598193437302,3.41395344096309,0,6.96659682782615,7.42497109732598,8.43257551478552,6.79405774453532,0,0,0,9.63877671235791,12.9068501005823,0,77.7077584212149,0,83.6062568215083,75.783650496443,77.6878577886763,86.9026766967575,0,0,0,92.8748313871758,81.227658993639,0
0,0.370199692780338,0.0903622096061343,0.0689385297289278,0.0329179599060404,0.0809404815337142,0.043347152344055,0.103978662104671,0,0,0.0811888699249468,0,0.0607492688268434,0.0673771732443288,3.20994159320488,-2.69630827794133,0.864183544296563,6.89196162873005,2.66252415703859,-5.01898300099067,0,0,-1.7711293271013,0,2.55970583711227,3.0187703053503,-5.15877230187428,-2.97327371893927,-3.69068740023351,-3.12537160370665,3.67515179466173,-1.90568680956033,0,0,4.41311926156735,0,7.87057555070836,-1.12559826980783,2.43220869442068,1.92849122772551,1.55959658638127,3.44346908612782,2.01124024408068,3.27442121038608,1,1,3.98721508550351,1,3.06753917710204,2.09588515201625,2.64228992210852,2.83961846359888,1.36804508032732,4.46808038927182,1.74477741769301,3.08637182435887,1,1,2.80084347444961,1,2.95059923013882,2.25687590097267,0.0471266771735472,-0.376185506039805,0.0578293258419045,-0.232327602444643,-0.269534401399932,0.16324406247869,0,0,-0.129560040098881,0,-0.137968770996842,-0.0390261698827036,0.99717633928299,9.31072391066843,15.1382038239581,0.944632916860858,9.50882531193166,10.8001203757557,15.1280168952934,0,0,12.6386775851262,0,11.1253734854978,8.41885100000459,75.1639508092147,86.7062277195973,65.8102517103348,75.6946525903547,83.8969204706569,86.7544774558662,0,0,84.4219304235941,0,83.8773092266791,83.599740500057
0,0.373271889400922,0.0852521550758537,0.053075675387031,0,0.108679131165914,0.0688308173632128,0.129944198746814,0.0329952138497201,0.0937466651740688,0,0,0,0.0542042538364633,2.03181665617218,-1.92433078513538,0,6.3192965119739,1.74311507157483,-4.71311121464638,4.20006422981485,-0.16657082556256,0,0,0,2.48539913673865,-5.41947217963383,-3.27228922399412,0,-3.01874079326022,3.54920768608745,-1.25385717482572,0.723457517739533,7.05034325165766,0,0,0,-2.65763441666136,2.76918388666259,2.03812098120202,1,3.4702558583739,2.82286169345586,3.05464163908836,1.5712467577828,4.0941913695475,1,1,1,1.82444374908806,2.3029161589021,1.73481271566814,1,4.59621163588874,2.33018249535267,3.33176587491635,2.5617154823085,3.44236814036348,1,1,1,1.62515385516444,-0.00924671360216093,-0.206142774642598,0,-0.153054618139288,0.0990087730845979,0.203910214061704,-0.394940129880854,0.133979685570495,0,0,0,0.0466528499386208,0.995710192976167,8.56694498524748,10.3276754880526,0,7.6568419029892,9.3833801384489,9.19450534911638,8.31375249072044,10.7313743166661,0,0,0,6.83485450429717,71.0919082365376,84.020533190299,0,74.0336761962043,81.7939752440001,93.3978056950733,80.2375818842343,86.2109767182484,0,0,0,73.8962418523988
0,0.385560675883256,0.0661891744914242,0.0978910928249634,0.124434154105242,0.0682472552904018,0.0548667147844047,0.0884998086309245,0,0.0595161011736952,0.0547950228156882,0,0,0,5.57098147079026,-2.13498938689564,2.62852827733573,5.41057246328807,2.08849808554962,-5.06853825868575,0,2.93259850392298,-3.45524890169578,0,0,0,-5.92866071486687,-3.40355448873666,-3.38062883731641,-0.735171694014118,3.55179864803079,-1.20774753292268,0,6.67691368733574,5.78394050917889,0,0,0,3.21688469028412,2.27988931301605,2.22195165950526,3.98610847595327,2.40536109855438,3.06484193619121,1,2.89168763517109,2.8095641999942,1,1,1,3.52411346196837,2.16561331384658,2.7810919204287,3.49245958797112,2.05737114431953,3.34811957806786,1,3.67468068407914,4.0025900205319,1,1,1,-0.181971662170491,-0.104934581472468,0.287835291425739,-0.107442040017183,-0.293286457419492,0.421955394443178,0,0.0311115491728316,0.109066842039407,0,0,0,0.995596563790077,7.97423287275002,7.6901264757327,7.98395126287572,9.0417493066224,11.093690463913,16.2785138748402,0,11.0426684811513,16.4220127033535,0,0,0,77.0521563875995,91.8041773864508,77.113577343697,78.927962206223,86.8032508268598,95.5408855227684,0,86.8788461689253,95.8522681991303,0,0,0
0,0.368663594470046,0.0861988823471954,0.0968693156340098,0.064168469218566,0.0463348275679433,0,0.0733962870093162,0,0,0.0611666241210388,0,0.0764393571345751,0.126762642497309,6.80377772533901,-2.47928843726374,2.29615135636714,1.57937390473844,0,-5.04105192280064,0,0,-2.58449724851597,0,0.233793268247351,3.36325897191528,-4.22711852501617,-3.07242234074264,-5.63425607334465,-3.250775321319,0,-3.54923928317627,0,0,3.13123755264883,0,7.768099627377,1.13674317279308,3.05990736782657,2.29976187553562,2.48802000217611,1.72691644035105,1,3.52045269399827,1,1,2.96291223145747,1,4.20776152551816,2.14763864577412,4.31021273657177,2.23912756776779,2.37981233776418,1.51048138582821,1,2.59835551429283,1,1,2.53184074526635,1,3.23935984754176,3.14602806765931,0.115992549542579,-0.294686668072397,0.17498792134356,0.115760194010215,0,0.211321307981705,0,0,0.288460675223281,0,0.0113955738885095,-0.200800172313368,0.99651605068463,5.3905629529454,5.75181071057634,5.18438518397311,3.90050248036977,0,6.26413447068486,0,0,16.1259936684668,0,16.1218260350436,6.25779291006747,83.6702586516494,88.4362034042508,82.9874718316337,85.0319665867938,0,86.9220695499755,0,0,93.5396096674137,0,92.7815607111216,84.9384659832675
0,0.360983102918587,0.0733924476878446,0.106450079882122,0.106511414441074,0,0,0.0726994035400221,0.0805787163715076,0.0803256870784488,0.0761770929933976,0,0,0.0428820550869963,5.86437418425389,-2.73096458682561,2.27249305732503,0,0,-4.43166708497553,4.61117644855206,1.63040878144007,-2.99971896729518,0,0,2.65448689262722,-6.5089438254396,-2.69546908597151,-3.60313823578767,0,0,-4.51134366105546,0.0557289596754238,5.44278630602307,4.67938419222063,0,0,2.09823731964727,3.52511988848896,2.64408232208367,2.27431868542053,1,1,3.95053650390226,3.29454404648774,3.08008563355482,2.79861477737113,1,1,1.85098061943096,3.15992744389252,2.22002624506106,2.33048789974478,1,1,2.35750796259101,3.14834997907457,4.10608400048928,4.20237602804844,1,1,2.72895986368543,0.105405640622335,-0.346529792673098,0.298583675432729,0,0,0.0517700901523845,0.100721453968488,0.201027265677212,-0.092790525315076,0,0,-0.338241263453364,0.996567482822558,4.52426331975734,5.66424476152638,4.52279451824091,0,0,5.36753909334711,5.54157492545712,6.86927301112692,15.2414466018948,0,0,6.01692614447348,84.6986227662338,88.7234423002048,84.702352733833,0,0,86.5924901657814,86.2984920423015,89.9058307303101,89.5673154197836,0,0,89.7130356058156
0,0.365591397849462,0.0512899152911585,0.0749269375054267,0.123413974395799,0,0,0.113787703805965,0.0528543281920787,0,0,0.0233254795282658,0.136430772970673,0.0583794904611717,5.24748983450087,-3.40846654492844,2.22293447925952,0,0,-3.72571907879207,6.42971892764661,0,0,-1.71156961988476,0.387381055495963,3.10356087196668,-7.50055163135147,-0.98298140266987,-3.43936605993143,0,0,-3.92264934745809,-1.82586057030022,0,0,-3.27148069336233,5.75399477142244,1.94833781128494,3.77682686141368,2.31882201291748,2.22647280280243,1,1,3.71956188803152,3.34156704981246,1,1,1.67026002244724,4.0322881501415,2.16689327219737,2.66270063261899,2.85633930720286,2.3115483786067,1,1,2.50339713584634,3.18151016716455,1,1,1.31614377069566,4.01358776565852,2.29225905066806,-0.0456778561237138,-0.0642764136638067,0.223179192208435,0,0,0.0370090720294332,0.12500328514215,0,0,-0.0587160386111711,-0.0878383265216237,-0.434979768894753,0.997132653129915,4.45237493884963,16.0812485654708,4.31949907112019,0,0,5.47043241955326,4.45401246428669,0,0,-2.5501302268906,5.60219124071739,5.50351183580101,86.5688476376468,95.2724098861667,86.1311188813073,0,0,87.6633607773446,86.5702563301564,0,0,65.2094585669259,87.8486695823627,87.664227280715
0,0.353302611367127,0.0482396041381966,0,0.102241972936074,0.082004381743024,0.117802194545266,0.182607480413744,0,0,0,0.0383705441054605,0.0754312107511083,0,-0.00926783935017239,0,3.52448516173283,6.57819539452213,1.86837214879374,-3.88587399108846,0,0,0,-1.07119792358418,-0.480258329161328,0,-6.24531609384468,0,-2.40125318040921,-4.92842114208982,3.07301412154408,-2.9689780828438,0,0,0,-3.33608448710268,7.39141072756706,0,2.60109176626839,1,2.00985734672623,3.43924897790863,4.05430995517487,3.41070994886979,1,1,1,2.34461022333256,3.53062020429971,1,2.41166452614505,1,2.8337807328129,3.81374638348281,2.9095735035543,2.91953010876668,1,1,1,1.32555234147067,3.87608125805632,1,-0.367869490197407,0,0.171845034264834,0.0563385198459639,0.068691322330532,0.128024059007382,0,0,0,-0.206801900525222,0.129472595288654,0,0.990692906806156,4.57189401853939,0,7.97618677363901,7.47112375137554,9.07026739647415,9.72895733507964,0,0,0,5.60979269280896,16.8053861795227,0,65.6935914214543,0,76.4048632841355,75.5609803656517,78.5852237003216,82.0093018882427,0,0,0,73.0204045902346,93.1242731073837,0
0,0.231950844854071,0.123622190383991,0.0663996539810707,0,0.0936596251724096,0,0.151851422144442,0,0.0318552615612253,0,0.0495436233358937,0.167055010264176,0.0840623683027208,1.92832418137981,-3.45267957364669,0,6.85479621597699,0,-5.39917140338525,0,8.24312760133034,0,-1.06919885296872,-0.0735732100672122,3.47564783414919,-6.06267900707213,-4.7218851209823,0,-1.31599267182372,0,-1.89174227014113,0,-8.57914053715639,0,-2.8975471786603,5.60357658012783,0.607181181275592,2.99320431096535,2.02260854667473,1,3.22354722594605,1,3.24016931754177,1,3.41702819955388,1,2.42987480374323,3.61754404279392,2.04803945144686,2.78180370619432,2.14567332710785,1,4.42631778405793,1,3.48685137574305,1,3.00924566017363,1,1.77070719614163,4.43890867550002,3.44531491635445,0.165832778232866,-0.103810113627626,0,0.152366828845194,0,0.403079988040653,0,0.198474579352972,0,-0.473384556557723,0.0685034031522932,-0.309709016249229,0.993683447252356,10.5905929371766,7.46003003138859,0,11.414677410194,0,17.584760066234,0,10.5388046037931,0,12.1237443757711,18.5741621512446,12.1190125854825,53.5947544198498,65.9711200475846,0,56.5788215430076,0,90.0275474954381,0,54.0922323702316,0,77.6166068664967,91.3427046455565,57.8649082918128
