"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","f.11","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","S.11","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","r.11","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","RelH.11"
0,0.258064516129032,0.0677881796538264,0,0.155442803588572,0.107593770884435,0.0777965376272339,0,0,0.0688449337044605,0.129768146376621,0.134701112035819,0,-2.37991454933021,0,-4.1237368725969,3.57715890505912,4.67310497035685,0,0,-1.62954582922736,8.71549221647301,3.31945793694576,0,-3.55162135340918,0,-0.0231292963848919,1.98088583432559,0.61671776241345,0,0,-8.21714788129983,-1.81024711415624,-2.385187501848,0,2.52408822113258,1,4.14388662564206,2.47230790254769,2.01406763916083,1,1,3.65744012694944,5.50226858181973,2.2654233040528,1,3.08714813568605,1,3.84544235556928,2.72693135783351,1.82621861897344,1,1,7.05509201226126,4.80960351796586,2.50838709290884,1,-0.564736167724831,0,-0.0106967903486172,-0.0691608101533141,-0.0154065090094818,0,0,0.0592208164942408,-0.0803125659938517,0.111348441142491,0,0.994941633535417,-1.43587576530686,0,-1.05774404253044,-0.841369034712914,-0.820490040984379,0,0,-0.75955552116874,-0.660716832059813,-0.841358015145439,0,88.0542608493084,0,78.8347027337305,77.8966489769227,78.2411073606746,0,0,85.006891898108,78.9772639109451,77.8966464654602,0
0,0.296187683284457,0.148782165359442,0,0.150904032262528,0.0715652114057075,0.0841030176256616,0,0,0.0623585356252434,0.0502140697816985,0.135885284655262,0,0.873565076533499,0,-3.60015774068384,4.21926048171584,6.36565779323661,0,0,-1.47701795769555,11.8015565952247,4.02681199535427,0,-3.71466167426555,0,0.584146986402224,2.46586608547408,2.04718583988998,0,0,-8.40271386462525,-4.82186839571057,-0.521884945593614,0,4.05128703192811,1,4.10881901106607,2.28005197415881,3.85141930103148,1,1,3.75698393671334,5.10401168008438,1.86174736933514,1,2.42736880730651,1,3.42922978435578,1.72327093191896,3.66965295863429,1,1,6.9685034975864,3.99621707287802,1.91171563391896,1,-0.131213410340459,0,-0.074952287811996,-0.330210142937354,-0.0575694877537259,0,0,0.00567641748166877,0.166678706510834,-0.0360372790148957,0,0.993206207689307,-0.819508301256686,0,-1.26220944299722,-1.41401300844403,-0.804597142872643,0,0,-0.888344453601013,-1.59416607144875,-0.807451923872044,0,80.9146970124698,0,80.7632200460943,78.4086241381003,80.6377771507737,0,0,83.4748172637094,80.0245375051402,80.6813517775864,0
0,0.275659824046921,0,0,0.0899833554082503,0.0959972555896557,0.109302077822696,0,0.0991691918619331,0.0454345630529507,0.089686902316232,0.194766829901361,0,0,0,-3.93194686439398,3.569155617007,5.99041881500089,0,-3.75624739380948,-1.23092870367562,8.33061522711268,3.34102702301568,0,0,0,2.18777782992669,1.72979481650699,0.874703096019235,0,-1.67452170784302,-9.94730870722809,-4.35480634594334,-1.82758092538777,0,1,1,4.60014170572435,1.85246933008299,3.41668225334462,1,2.58268304227748,3.89932807794546,6.49739836581815,2.51850121788921,1,1,1,3.21644290587542,2.03391928060515,3.97616094971786,1,3.042388076942,6.82802332413641,4.09515236487411,2.72483793013208,1,0,0,0.0323538463553197,-0.257916658074245,0.069621712298581,0,0.0710419792898327,0.0726127769762395,-0.0291662012416792,0.426297288248359,0,0.997268976826182,0,0,-2.22102736399931,-2.16862280540796,-2.04188004880583,0,-2.8417431464349,-2.8057100457494,-2.03779029324354,-2.0773384262752,0,0,0,82.753989428653,82.6783479122154,83.0461610386109,0,82.9503784838177,83.2136610274189,83.0694911538748,83.1433186361122,0
0,0.243401759530792,0.178187932533528,0,0.173125636721966,0.138751886574781,0.12555542522355,0,0,0,0,0.140977359415383,0,-1.77165664633477,0,-3.76084211235516,3.94372901875962,7.54584563969554,0,0,0,0,4.00939461991008,0,-3.60098933657609,0,1.12526319048098,2.48780666628486,1.42899682406894,0,0,0,0,-3.24476371774243,0,3.80672282399033,1,3.85347893033937,2.26906972072496,4.44982207644071,1,1,1,1,2.83550248149902,1,3.39416586897873,1,3.18443677665261,1.81353950902821,4.15542174407372,1,1,1,1,2.14283263007486,1,0.0101234649646904,0,-0.125834424577932,-0.166462311255513,-0.177009488940405,0,0,0,0,0.23127543383478,0,0.993068519383891,-2.41077767107911,0,-2.41214538872739,-2.54195624751479,-2.42588581580518,0,0,0,0,-2.49586356974572,0,82.7108637667745,0,82.7672158835905,82.4372441466132,82.6479958357217,0,0,0,0,83.262684149342,0
0,0.225806451612903,0.131604190427877,0,0.0784738000272963,0.127464546171667,0.118666042520484,0,0.161548311922384,0,0.0613866054175944,0.0950500518997949,0,1.83934544554331,0,-1.99415504342701,4.22537654392441,5.05578888753578,0,-4.38853085045672,0,6.8112602148387,3.48794193892831,0,-3.78046140552566,0,2.38541048566177,1.64798380576981,2.58095287807684,0,-1.84540178433363,0,-0.269884668317527,-1.107251881534,0,3.17550830443698,1,3.36845374588606,1.85994274295474,4.12966553742402,1,3.54124746210962,1,2.05926135509619,1.59837181625627,1,1.93699693315245,1,2.55560820868069,1.73686637157336,3.1635293826614,1,4.13775816493219,1,2.17916328418185,1.49961009144897,1,-0.131771214068654,0,0.0721100032101539,-0.156072169499614,0.104699376425159,0,-0.337509878403173,0,-0.0123316183784995,-0.0840342143004585,0,0.990854546597173,-3.21811052772118,0,-4.99690153090943,-3.37142448792443,-3.37605498906725,0,-2.6507646656759,0,-3.37480913072664,-3.37297589495709,0,86.2207407790436,0,86.7885223636491,86.1047443953948,86.0859288976658,0,81.9896993336508,0,86.1035439425339,86.105887742725,0
0,0.214076246334311,0.116429032197933,0,0,0,0.161973451663527,0,0.258322097920307,0.0680808755950269,0.0666314318759739,0.114486864412921,0,2.90354077459204,0,0,0,3.63902106886387,0,-3.47476019199019,5.91706146535578,11.8127903953017,3.52224912123941,0,-3.69235053108175,0,0,0,2.58725671132348,0,-1.02594308640041,-9.73909723472123,-0.246258918570602,-0.541987725335795,0,3.13617763099517,1,1,1,3.32997245208809,1,3.72160068088592,6.98902716698567,5.66683459829002,1.52499143950524,1,1.93699603204115,1,1,1,2.39057105134994,1,3.95399148956321,6.76326110566796,5.09007137145294,1.6663822437957,1,0.0384853495124372,0,0,0,-0.154177806624056,0,-0.248644474485644,0.571338420502712,-0.312619419552991,0.0570020059480559,0,0.995998294568848,-3.85074894067592,0,0,0,-3.95999329922836,0,-3.83798212776559,-1.42536486433836,-4.01632501335308,-3.93333502659514,0,87.1891548559463,0,0,0,87.2876174604788,0,87.4030503244068,75.7873689525227,87.1805843412704,87.2617977089169,0
0,0.249266862170088,0.142276287489594,0,0,0.152932170937292,0.0826413889703265,0,0.176215897266363,0.0541407558062847,0.0593249923550944,0.0832016450049576,0,1.63973802836237,0,0,4.03406210324552,6.37243857317654,0,-3.69589279042293,-0.941956731091523,11.6010726207997,3.63001874527453,0,-3.66086030549444,0,0,1.96157825123436,2.34509440530622,0,0.878198058241404,-9.20271541509415,-5.55354267099038,-0.825639557660486,0,3.82270858849367,1,1,2.01739790872388,5.65558668966815,1,3.6616629240128,4.25344230608993,6.0939450906038,1.47779026056218,1,2.1450447476976,1,1,1.91063398276737,3.59951881628779,1,3.22408039017386,7.10329471927434,4.38909233160424,1.60186816259644,1,0.0902784810018811,0,0,-0.0723902772285836,-0.0149007661872938,0,0.0265509985768513,-0.122245619943416,0.00708302514351971,0.00521140364936848,0,0.996065666926379,-4.42913084703755,0,0,-4.67603513415382,-4.15900637293416,0,-3.88218992402478,-1.45264109291217,-4.44753109183984,-4.60824043260737,0,85.7170030442351,0,0,83.2285761543387,83.3146239091436,0,84.4556881779604,74.2985575019446,74.0017612847138,82.9937696889752,0
0,0.274193548387097,0.136559960098812,0,0,0.131360256448954,0.152282984645249,0,0.136174271371149,0.0363556837058281,0.0636182915543334,0.0694550037885776,0,1.08061980634439,0,0,5.1139758628167,3.69307986587685,0,-4.43394655961941,-1.49417874548415,11.8138285292618,3.96235017568625,0,-3.50306026176311,0,0,1.23371793847134,2.77843449641083,0,0.346412067101643,-12.443341965669,-5.38466470541217,-1.80500786053098,0,3.67354327984738,1,1,1.96949178741275,5.52397629282445,1,3.33905545523724,3.80799692677801,6.34470332455099,1.80403669926647,1,2.43697178567863,1,1,1.96013796281414,2.97866594415418,1,3.26498298766678,5.84161107971114,3.95295220961721,1.61070632052795,1,-0.000225225133607764,0,0,-0.242464919722089,-0.0375876554876352,0,-0.00555264897784551,-0.093223391440273,0.0180032150371127,-0.0766829967811937,0,0.995713248581412,-2.1002986732611,0,0,-2.21106786562667,-2.1067248172592,0,-2.35501897660594,-1.49589652915169,-0.530294156348322,-2.21126708329481,0,83.4676919699216,0,0,83.3574676685406,83.3916650711909,0,83.899815584668,76.9590160251109,79.353486710379,83.3597962531383,0
0,0.293255131964809,0.0438529299025738,0.0483499392404215,0,0.110040387649255,0.0837369553037267,0,0.18536984947839,0.0448562670050851,0.104729224059914,0.0858093153958237,0,2.09092280061872,0.510327890038104,0,3.91569190881027,6.55273924740216,0,-3.87594117071477,-1.07651107229471,10.5051073150701,3.46175857516552,0,-3.68038163064089,4.02888901941609,0,2.13160179041308,-0.149038039353499,0,-0.0378910861209114,-10.864845634835,-2.36065598094218,-0.517326970005573,0,2.26366364367778,3.36267242706374,1,1.89604803241629,2.09443558177182,1,3.58863328531832,4.13146637181159,6.32486745251045,1.61459108018155,1,1.84649098737213,2.32598453592753,1,1.84112087008451,2.94491892899097,1,3.70484409575691,6.89059251563941,4.95866933681154,1.71111965866964,1,0.177288760128569,0.412695194043787,0,-0.0769068644733445,0.340795078847403,0,-0.13965460330458,0.0763837520991719,-0.194992584509423,-0.0541635130959173,0,0.997145077858394,-5.68107316158151,2.68450217785184,0,2.70986674324585,2.71845680491215,0,3.19962208608043,0.343612683403841,2.76828671256477,2.69863137814102,0,63.3123939024403,68.0984173718863,0,68.2458682413726,68.2267576365363,0,67.1944085947108,74.8140211641022,68.4047368828207,68.2332126278748,0
0,0.258064516129032,0,0.102003522368025,0,0.147043600021754,0,0,0.185960793026324,0.0759945368312122,0.0833537138428326,0.14757931778082,0,0,1.1904612663304,0,4.07293347304385,0,0,-4.48131282815563,-2.26595787797502,13.8536201599774,5.05092881258301,0,0,3.25237453436591,0,1.45697238460912,0,0,0.803139920427943,-9.48744387582879,-4.53950848468721,-1.64765469546471,0,1,3.05293256331453,1,1.86556960841873,1,1,3.41566960548954,4.59758486499942,6.10795427764195,3.111517616685,1,1,2.09912025484895,1,1.92709151356756,1,1,3.39723357446991,7.19049028186912,3.8641117431721,2.46676166902144,1,0,0.103832259925397,0,0.0364124376833679,0,0,-0.138255303733065,-0.124928220075499,-0.00155941453798622,0.316445667758739,0,0.990418512040752,0,6.40301363606302,0,6.45787213320824,0,0,6.65959777833837,5.97370270396876,6.5355929008668,6.42377662029344,0,0,50.4838732977057,0,50.5070359777464,0,0,53.3329491808272,57.6747859227038,53.8947113043301,50.336052567446,0
