"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","Pres.1","Pres.2","Pres.3","Pres.4","Pres.5","Pres.6","Pres.7","Pres.8","Pres.9","Pres.10"
0,0.100238663484487,0.36997043812477,0,0,0.196249165300351,0.182784259123488,0,0,0.150757473966904,0,0,1.68936100840742,0,0,-4.35624099883758,0.532315282151402,0,0,0.42558559080182,0,0,-5.59309269465016,0,0,-0.212865212929195,-2.52745442287001,0,0,5.40399403732558,0,0,3.99190493140582,1,1,3.80329992957818,2.87774398520917,1,1,4.89365093679864,1,1,4.14312309649077,1,1,4.01972312520876,1.99552190116872,1,1,4.92874691253558,1,1,0.108708525133505,0,0,-0.407464320017115,-0.0192106064862888,0,0,-0.262226426997457,0,0,0.996089903019357,11.0769198320723,0,0,11.92734296342,11.5623646874759,0,0,11.9323216118521,0,0,77.628376876748,0,0,80.1626151672392,79.1379994388409,0,0,80.1743725676273,0,0,1020.27403660026,0,0,1019.63260454901,1019.82474286009,0,0,1019.62773239287,0,0
0,0.0971563981042654,0.30276648636099,0,0.206320383929218,0.279165348084722,0,0,0,0.114591383520804,0,0,2.3074873441271,0,0.743632654184196,-2.59559828425387,0,0,0,-1.45573502651898,0,0,-4.91581482013672,0,-4.08239555696987,-1.30695004350498,0,0,0,7.23914143938105,0,0,4.14046160372995,1,3.08313526112774,3.99762120563428,1,1,1,4.84593570562338,1,1,4.71395477733323,1,3.50669429686466,3.11085089892627,1,1,1,4.10954535328031,1,1,0.102348713474678,0,0.393861326197224,-0.464270850475621,0,0,0,-0.0154542422943725,0,0,0.992568136880079,10.1577032049132,0,10.1571738338298,10.3291525169334,0,0,0,15.3939951120485,0,0,78.4906918144516,0,78.4905111902634,79.1255050335089,0,0,0,82.5536756457196,0,0,1020.12914392177,0,1020.12938710849,1020.06083503315,0,0,0,1018.68305822151,0,0
0,0.104018912529551,0.202143075974419,0,0,0,0.397002400199282,0.135406548094104,0.161429063202644,0,0,0,0.834253548296456,0,0,0,0.617093147033113,-5.78323621689649,1.87770061587681,0,0,0,-8.14792159702841,0,0,0,-2.75380749457339,1.03596261839968,4.37240690806629,0,0,0,3.88532058912105,1,1,1,3.36792995731097,2.90376771947275,4.84555100980283,1,1,1,2.99163644952999,1,1,1,2.41400933117194,3.6539007121268,5.63540155256171,1,1,1,-0.0545959016598671,0,0,0,-0.1264228611631,-0.217618667423353,-0.398681882134666,0,0,0,0.995443690566468,8.4707158620204,0,0,0,8.88338294141228,16.6938352723683,8.98627138392733,0,0,0,81.6394487180273,0,0,0,82.5172839620828,89.0648920978538,82.8007267965916,0,0,0,1020.56053528907,0,0,0,1020.30582949852,1018.8508403203,1020.23588408907,0,0,0
0,0.0985915492957747,0.204054339874615,0,0.258747178959582,0,0.148298387799111,0.189441990354323,0.100866553716593,0,0,0,3.5580061375851,0,-0.310958658003216,0,0.33912674670191,-5.37089012841236,1.93427170688361,0,0,0,-4.1778086772458,0,-5.89682725855338,0,-2.28049595287096,0.0355295321961433,6.74000637822966,0,0,0,3.25355870758093,1,2.72571462760548,1,2.96275704678077,2.88717430386878,5.02567046536619,1,1,1,4.23008906012652,1,3.80700279093588,1,1.84010937210721,4.04654270160752,4.67137424115756,1,1,1,-0.241558778441747,0,-0.0198288606626346,0,-0.268330899749075,-0.215619277408558,-0.480420620885749,0,0,0,0.996753504761946,9.78119816703049,0,9.79216303060373,0,8.69787620867761,15.1672091086765,11.9334579447118,0,0,0,82.6341766107917,0,82.5151354155558,0,87.0870530287374,89.2427168316139,87.3802246831661,0,0,0,1019.68249960755,0,1019.7076764682,0,1019.56370929303,1019.37129415049,1018.05057985803,0,0,0
0,0.089622641509434,0,0,0.150911719115979,0.263779459341974,0.32001214220546,0,0.175674037827153,0,0,0,0,0,0.701402298735168,-4.09256169315037,1.1717886828134,0,2.28205929026535,0,0,0,0,0,-9.06668811077055,-1.2136940301942,-3.31156991010137,0,3.13840177587235,0,0,0,1,1,3.85591814304032,3.37590294412133,2.97016927792899,1,4.99964993157955,1,1,1,1,1,3.05612838216727,3.94299181442685,2.49665624932894,1,5.88862830366924,1,1,1,0,0,-0.103867658708308,-0.430619384557946,-0.0735560126733983,0,-0.387385906921148,0,0,0,0.996916843542219,0,0,7.23373201475853,8.27408376662155,8.03287374131433,0,8.2772751098712,0,0,0,0,0,81.9618879127887,83.8856119502251,83.576773815652,0,83.8954251980728,0,0,0,0,0,1020.92567694017,1020.28456025584,1020.39676629499,0,1020.27946482963,0,0,0
0,0.0863309352517986,0,0,0.14279747101977,0.215198214838874,0.357466409078759,0,0.198206969810798,0,0,0,0,0,0.422078929530177,-4.74149803634945,0.702006126333036,0,1.95681903723389,0,0,0,0,0,-9.17369253534611,-0.891622211676375,-3.36614045093465,0,2.31485500627379,0,0,0,1,1,3.78506705863387,3.33916272492527,3.09888058470775,1,5.06545568376504,1,1,1,1,1,3.11492616044329,3.95359560989129,2.58494076260718,1,5.71591023234761,1,1,1,0,0,-0.0403562339174705,-0.424233277274383,-0.0987929458786527,0,-0.340911296188993,0,0,0,0.995843069005226,0,0,8.18529043864855,8.71839415030995,8.6031820979992,0,8.71840240279072,0,0,0,0,0,80.3734409218106,81.3241676653781,80.9908870033859,0,81.3243281505771,0,0,0,0,0,1021.21273815225,1020.8924604974,1020.97767240857,0,1020.89237552249,0,0,0
0,0.0889423076923076,0,0,0.108629651902461,0.294886818422398,0.260046966800309,0,0,0,0,0.247494255182525,0,0,0.609822119249648,-4.12407672596884,0.656185577828654,0,0,0,0,2.23560362440561,0,0,-8.5145921101222,-1.95330871082966,-3.23949145846129,0,0,0,0,0.353682865102837,1,1,3.47128487720318,3.67048791727782,2.96169546443574,1,1,1,1,4.6370085430754,1,1,3.64150597858725,4.84775688554414,2.41295313107671,1,1,1,1,6.10319924289144,0,0,0.236392521577014,-0.485930053419745,-0.197557004566378,0,0,0,0,-0.26083189169825,0.994254099587798,0,0,7.80074589610003,10.0062709443458,8.04922861624889,0,0,0,0,10.0062709447338,0,0,76.4602756649665,80.5285283737595,80.7680894214317,0,0,0,0,80.5285283747145,0,0,1022.63881775326,1021.34435250988,1021.78194873185,0,0,0,0,1021.34435250947
0,0.0866510538641686,0,0,0.274695302104699,0.141466385342768,0.250392050117093,0,0,0,0,0.246795208571271,0,0,-0.295537870992396,-6.4429720849871,-0.56897354448647,0,0,0,0,2.32746326147971,0,0,-6.81342643202719,0.414036286405956,-2.52270820300566,0,0,0,0,0.277858531929053,1,1,3.34983654736943,2.95919429495048,3.61114928459831,1,1,1,1,4.906028018603,1,1,4.09414221499933,4.34896376798443,2.64350304773253,1,1,1,1,6.26750334066133,0,0,-0.0242983577234752,-0.197373412819931,-0.48627967158911,0,0,0,0,-0.257080290935432,0.995160908262077,0,0,10.7893047807524,11.4268779957925,10.9586634934485,0,0,0,0,10.9197070240468,0,0,76.7383643804312,84.5665900679166,77.3002455944838,0,0,0,0,77.0812103262559,0,0,1021.72385248952,1022.20790725575,1021.55735777235,0,0,0,0,1021.63063048078
0,0.0625,0,0.13147777829726,0.253382742853782,0.307279210045247,0.123960730641039,0.121399538162671,0,0,0,0,0,5.5336063373888,0.212162759312015,-4.15139887329013,0.512200155813191,-4.07131362425727,0,0,0,0,0,-0.644774533491878,-8.6476981848867,-1.43250445059722,-2.54542946479236,3.58951341294666,0,0,0,0,1,4.1335168209698,4.01748376789192,3.35911708266385,2.74779083661277,4.28774227763176,1,1,1,1,1,5.34854690344029,3.75582987254241,4.0131119120107,2.30452451302154,5.92929035798522,1,1,1,1,0,-0.184664112719106,-0.0104654676714769,-0.468393400136732,-0.366170826674341,0.367731018764806,0,0,0,0,0.995337634432588,0,12.3900648151158,11.6287822142852,12.6736429727247,13.2024165249018,13.8834229837745,0,0,0,0,0,64.3185235741606,62.5638403251024,65.1353507984939,65.8895218955652,76.4540750715746,0,0,0,0,0,1022.43632666555,1023.18372939635,1022.49898539027,1021.99954879182,1022.11026533993,0,0,0,0
0,0.0415704387990762,0,0,0.395809900974276,0.379925034096567,0,0,0,0,0,0.182694626130081,0,0,-0.228476251452957,-4.82497179561267,0,0,0,0,0,3.56859419515482,0,0,-7.61524717701904,0.145954476113372,0,0,0,0,0,2.47453521455052,1,1,4.40049237769984,3.41222908947646,1,1,1,1,1,5.96867316731053,1,1,4.46390673273694,4.1179943999271,1,1,1,1,1,6.64282876831156,0,0,-0.0572841828433206,-0.331194129694787,0,0,0,0,0,-0.43338177069502,0.989576739901106,0,0,15.1036438794485,15.4349729264065,0,0,0,0,0,15.4391586517864,0,0,50.285510925204,51.7486184420791,0,0,0,0,0,51.769589192816,0,0,1022.67803014991,1022.12353388163,0,0,0,0,0,1022.11940911512
