"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","f.11","f.12","f.13","f.14","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","W.13","W.14","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","S.11","S.12","S.13","S.14","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","w.13","w.14","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","s.12","s.13","s.14","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","r.11","r.12","r.13","r.14","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","Temp.12","Temp.13","Temp.14","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","RelH.11","RelH.12","RelH.13","RelH.14"
0,0.153225806451613,0.051569945138208,0.106501747740182,0.125199944938703,0.0635137711939862,0.140094189440874,0,0,0.0921883530480981,0,0.0900711180273199,0.0930993061160275,0,0.0845358179049895,0,4.91306195869766,2.43225806960311,2.68654676043775,0.519976473539354,0.619152583789246,0,0,3.83118921348008,0,5.05119487724743,-3.62215916098538,0,-1.41583118468215,0,9.9427776052541,4.24057586051446,6.67295752008413,5.62728189848822,3.02034796086221,0,0,0.582080648250677,0,-2.37062752234935,3.9233030864635,0,5.3616840844882,0,4.83939444685668,1.32170077274582,1.86625943579357,1.10938199498408,1.44548808352716,1,1,2.19829551429051,1,3.23905257821735,3.17260266078749,1,1.59657655783634,1,4.9580195234357,1.62987230516927,2.12029097489817,1.41188117254259,1.53065763496993,1,1,2.69305631997317,1,4.2987059569973,3.53310155755207,1,2.41444139946937,1,0.0332029183321381,-0.271051364889743,-0.330184761432627,0.0867932560271,-0.183959879740773,0,0,-0.47045931853708,0,0.210796799622439,-0.202072795292571,0,0.277656624433205,0,0.999205050825025,1.66158459670492,2.37440350783387,2.3745851900678,2.37441891632384,2.54836456414306,0,0,2.30975323588824,0,2.67760578294514,2.32146353890598,0,2.40909305443369,0,81.1130031158142,65.9851735064831,65.9844629676148,65.9850113701726,65.9273280846037,0,0,66.2181850199921,0,74.796701684546,66.5899581506357,0,66.1111735052637,0
0,0.164746543778802,0.0668946229587565,0,0.217372594726954,0,0.249740751234103,0,0,0.112216747630597,0,0.0868086471131234,0.102220092557664,0,0,0,3.87315362781493,0,1.70270089838198,0,0.674328650322013,0,0,3.40169290520563,0,5.05323808332673,-3.35493967848001,0,0,0,8.5108904073988,0,6.10239894616404,0,3.71453104292836,0,0,1.78813591683117,0,-2.50612143455978,3.66844723738348,0,0,0,4.96566951203791,1,2.01317401215539,1,1.80879859035336,1,1,2.15535885215132,1,3.44246006112329,3.24496534421215,1,1,1,5.22378381038601,1,2.10881873523434,1,1.73409954490159,1,1,3.06498337015231,1,4.22238223111556,3.328819861446,1,1,1,0.161643829091357,0,-0.165003733337832,0,-0.12660217066995,0,0,-0.513046412970295,0,0.211003720672879,-0.284276392400072,0,0,0,0.999087429626613,1.93244531081561,0,1.95344930771455,0,1.95353640445072,0,0,1.93134350865466,0,1.03987172093764,1.95551423678025,0,0,0,66.6752621237517,0,66.6868219189793,0,66.8576083224081,0,0,66.6178995861052,0,80.4822707139281,66.8012690101221,0,0,0
0,0.149769585253456,0.0988981424838361,0.16436849564076,0,0.152954285928949,0.143522196917867,0,0,0,0,0.126354528336406,0,0,0.164132765438725,0,2.15797600367043,2.76289940699095,0,0.535362671283788,0.884707213649076,0,0,0,0,4.69042998276685,0,0,-0.970379294681905,0,6.8823685297432,5.30008093345871,0,5.36413116979355,3.18631985469988,0,0,0,0,-1.61561908991582,0,0,3.29381024449367,0,5.18997753611886,1.48913802648676,1,1.47183355270672,1.69458799409805,1,1,1,1,3.28303115172752,1,1,3.99245676232465,1,5.44621085157436,2.33546350623113,1,1.95318178150948,1.52002898062459,1,1,1,1,4.21452566395647,1,1,2.91484357480837,1,0.240856436119981,-0.255692899723318,0,-0.210176848383156,-0.268829631964774,0,0,0,0,0.0492405549457645,0,0,-0.441562297805793,0,0.998450489075754,1.35491401520994,1.3634356591562,0,1.36335496762035,1.33618966993045,0,0,0,0,1.50089093630323,0,0,1.35523308754679,0,67.4155083945507,67.4386191286264,0,67.4383243644394,67.4921106552867,0,0,0,0,67.3378123047734,0,0,67.4306550373104,0
0,0.152073732718894,0.0390755320681511,0.141381907594213,0,0.217757992910413,0.132578905386352,0,0,0,0,0.170117903356043,0.147014025965934,0,0,0,5.4952999968039,3.07483017138758,0,0.737916337246612,0.902091224542373,0,0,0,0,4.25904369392731,-2.21958966825991,0,0,0,10.100878005564,3.51189443034001,0,5.61102609094999,3.08009923424378,0,0,0,0,-0.646958057185756,4.92619969077585,0,0,0,4.56036104857798,1.39368314552895,1,1.83008404898125,1.39635379549551,1,1,1,1,3.30180684345784,3.62236760766682,1,1,1,5.24734190305207,2.22859322377073,1,1.99504258471414,1.46778132792232,1,1,1,1,4.41951771820391,3.28533184614939,1,1,1,-0.0831998648825507,-0.120310111741421,0,0.270676218827447,-0.0232294482587598,0,0,0,0,-0.0278128161407364,-0.0129200707849223,0,0,0,0.99823461452657,2.80328727228936,0.548775741746182,0,0.555948937476965,0.552425807598605,0,0,0,0,0.555919799377392,0.555937040543262,0,0,0,71.538843896507,69.8920961840022,0,70.1471156969936,70.1712852617181,0,0,0,0,70.1472108222247,70.147215653776,0,0,0
0,0.160138248847926,0.0722556859163015,0.129231605370366,0.116738986060273,0.11749955682827,0.177727409722027,0,0,0,0,0.122991325424604,0.103417181830232,0,0,0,4.35617759534672,3.51589779084256,2.32894173417113,0.0425323872680499,0.426632870397153,0,0,0,0,4.5840493432539,-3.92091466418557,0,0,0,8.29557128696368,2.89728019639452,6.56501354285833,5.49453482510464,2.69336554799391,0,0,0,0,-1.98220847801954,4.27023923536554,0,0,0,4.83518623622851,1.55971816525043,1.6551571857159,1.34855198062531,1.85919129400312,1,1,1,1,3.3294883637339,3.12149936504277,1,1,1,5.19038575753444,2.88841785397987,2.05105880637152,1.57624544128135,1.50319774749129,1,1,1,1,4.34311584927507,3.20055208429232,1,1,1,0.0166410209047058,-0.199559467390301,-0.333082254338411,-0.163436031077428,-0.339780001003514,0,0,0,0,0.0637110933764052,-0.16691063176828,0,0,0,0.998314239841332,0.556865770688946,0.555847399489346,0.584170473477224,0.583738973128428,0.591873916141615,0,0,0,0,0.556373207748859,0.591896950978789,0,0,0,69.4959549347224,69.2309298877906,69.3276919937934,69.5196802902548,69.6359454341325,0,0,0,0,69.4099640529603,69.5794295673254,0,0,0
0,0.165898617511521,0.0948644698505538,0.212632203443784,0.133127444725025,0,0.186719538636057,0,0,0,0,0.122357467778916,0.0844002580541433,0,0,0,2.82640515679567,2.19617710197849,2.19958945268196,0,0.0506822268966463,0,0,0,0,4.55625339890157,-4.17017259512217,0,0,0,6.44093186586799,3.07694246343062,6.26827087158947,0,4.12873253319576,0,0,0,0,-1.45523014375772,4.31550353880107,0,0,0,5.34535150537069,1.72689461749161,1.70387916613011,1,1.60932789740124,1,1,1,1,3.09015896364667,2.99609119171006,1,1,1,5.72895301865674,1.96047792246147,2.06030929557645,1,1.8718089885413,1,1,1,1,4.6328209079724,2.97217197751961,1,1,1,0.188500804983336,-0.25516886522507,-0.155774002299536,0,-0.0533027517377296,0,0,0,0,0.0359646535750355,-0.182833101652165,0,0,0,0.997409549161341,-0.61255507980138,-0.573449254787979,-0.585765899829385,0,-0.282959938890724,0,0,0,0,-0.612929421264882,-0.569107372487093,0,0,0,74.7204438121956,74.8563078175095,74.7011449525842,0,71.9954577038711,0,0,0,0,74.7215341911574,74.9231199738765,0,0,0
0,0.179723502304147,0.0536246735401296,0,0.187980438999159,0.121382850368074,0.177951289107094,0,0,0,0,0.135472814452814,0.143864431228582,0,0,0,3.65676979496469,0,2.51768458648697,1.03646382191636,0.612489583869641,0,0,0,0,4.66493625975051,-2.51393171137391,0,0,0,8.19889148644929,0,5.43751774507704,4.69460157788322,2.64539976703688,0,0,0,0,-1.1010901773066,4.12238768661535,0,0,0,5.40161026870611,1,1.65155465484523,1.47878767937354,2.01638306614132,1,1,1,1,3.09278516742641,3.7972945772491,1,1,1,5.66991767242615,1,2.29640054033316,1.45515393280531,1.60012601449571,1,1,1,1,4.86641737162946,3.41102119078182,1,1,1,0.236661896844013,0,-0.314048182673273,-0.506880826589503,-0.504416021775813,0,0,0,0,0.0475805327759782,-0.126924129002569,0,0,0,0.997760328961746,-0.666180769170274,0,-0.675996746236957,-0.675544555191482,-0.577013862137932,0,0,0,0,-0.666379745035609,-0.666180769113547,0,0,0,73.9103918662726,0,73.7939352012854,73.6551666742978,73.9197716007727,0,0,0,0,73.9112976096248,73.9103918656407,0,0,0
0,0.191244239631336,0.0527093955671714,0.0651693465013382,0.0727129722282358,0.109941941161591,0.116309791293834,0,0.0702835984541301,0.0902364893500895,0,0.0712826214471358,0.0952112561105735,0,0.0648983482545651,0,5.07581976280615,2.40070275870505,1.79615899603258,0.599556219956777,0.145280618081428,0,3.47222008332402,3.97786445707441,0,5.70153341243667,-4.80562280136074,0,-2.37327849695662,0,9.07632752713586,4.97291563395836,7.47542526199744,4.82304377400141,2.61390135654253,0,-1.88804122881203,3.27095750964101,0,-4.01230807025967,4.50405725224067,0,3.87955817670386,0,4.99689558718621,0.958610097538824,1.92114550601679,1.12002006709329,1.30197822772393,1,2.85995082745575,1.31200639851868,1,3.08760356548328,3.47663055219294,1,1.82734036178942,1,6.06105518042475,1.39596955114629,1.84336648905428,1.49417483824604,1.52781944955046,1,2.34621457552381,2.27494604570281,1,5.21005101717027,4.00257288890067,1,2.07255755360903,1,0.00847099847889583,-0.191553832424113,-0.0178455777911497,-0.259703505021293,-0.308494722366239,0,0.254185068328363,-0.0252280038854163,0,0.256988922778476,-0.181732737507991,0,0.0178902096173242,0,0.998652292903253,-0.352826295364899,-0.607305329776201,-0.352138234353622,-0.284121427817446,0.626637120809973,0,-2.3784624194874,-0.534810068164331,0,-1.27815182371031,0.192181075283769,0,0.192181783431987,0,72.8945503077618,72.4715036191786,72.1387024294712,72.6242698894975,71.4140258998746,0,73.7980250087221,72.5321664830727,0,80.4571361932112,73.1911624809547,0,73.1909677495373,0
0,0.329493087557604,0.0794668043682175,0,0.0892266112839896,0.0764778159894345,0.0296804629048094,0,0.0724180776294359,0.0600989339239871,0,0.0861612329186183,0.138178386141352,0.0387985872825521,0,0,3.64949712761696,0,1.58330115972655,-0.0614792031724596,0.387151086825059,0,3.32692141734296,2.38353533599701,0,4.66119293726985,-3.75846903052094,0.0324305714804216,0,0,7.71467336463391,0,6.14600961555186,4.11456243253502,1.80296431249671,0,-1.93821679650143,3.21428184983534,0,-4.35859183390333,3.6380280724751,-3.88745995930702,0,0,5.43308148400451,1,2.00903362789794,1.76509451622511,1.52414931154085,1,2.10772980709084,1.53799334346371,1,3.23786352446914,3.7810267433715,2.02477018803854,1,1,6.15721157965806,1,1.9664693068269,1.32356359968675,1.06319958387023,1,2.55740733748607,1.41587347474794,1,5.32702240606762,3.97669867864872,1.74491025032812,1,1,-0.0492679852813388,0,0.00998029165570759,0.143094190086678,-0.0816586061392872,0,0.0622752426583236,-0.00251226174384849,0,0.119151548296454,-0.407768375429588,0.0337747037595095,0,0,0.997703953843224,3.30924784299386,0,3.38424415573477,3.40509796722341,3.11596161092716,0,1.27791141659754,3.3836487048273,0,2.80384799534701,3.89687753865439,1.20817054433975,0,0,66.3459906890642,0,66.6357280859401,66.9041137287769,67.1407515643225,0,74.8459478638541,66.6387582273873,0,77.1646279805287,63.1625124405288,74.6841090015163,0,0
0,0.328341013824885,0.0511939510116124,0,0.104110296168789,0.0458825049393048,0,0.0857381458684846,0.0737915508151229,0,0,0.115831460516844,0.0811951490323177,0.0632107794062824,0,0.0507051484163575,7.40134055301006,0,1.74039771045506,0.329009373630003,0,-1.17326123071587,2.93622747705851,0,0,4.59385085910043,-4.32442100280688,0.0663767717767911,0,-7.04346495841874,9.61279444514458,0,6.10168440760505,3.82480570501805,0,-4.09358767928144,-4.02053993030454,0,0,-5.15153911122003,3.93847379163787,-3.50496488437953,0,7.0544678378751,4.86555993004122,1,2.68583532270195,1.80877965569194,1,2.2498253164816,1.66412486725828,1,1,3.348516477138,2.8672473416665,1.51811686147782,1,3.35267336188216,5.48864575568185,1,3.66525119883214,1.48885209131251,1,2.48864745792812,2.03142375443736,1,1,5.30430889561433,2.70259358106977,1.49368068632581,1,5.82061657015718,-0.355183280978523,0,-0.176443788124199,-0.0193253068325596,0,-0.236900090462408,0.134511485872547,0,0,0.19670317343989,-0.418162252041798,0.00741939408016881,0,-0.288733164204242,0.997585199672163,2.78868134030427,0,4.45661978648136,4.54545605369674,0,8.12604675757546,7.06937512910673,0,0,7.09807645678125,7.04891182565401,6.9717284669117,0,5.20347528270416,83.2673636364713,0,84.1746676246942,84.4150225110301,0,51.2143707522374,53.3809615688947,0,0,53.925371329623,66.9640650713673,52.8335660699142,0,82.5230113279254
